average_length_of_stay_minutes,probability_ER_full,number_of_reoperations,number_of_hard_surgeries,number_of_deaths,average_queue_lengths.ER,average_queue_lengths.Preoperative,average_queue_lengths.Lab_Preoperative,average_queue_lengths.Lab_ER,average_queue_lengths.OR_Regular,average_queue_lengths.OR_Urgent,average_queue_lengths.ICU,average_queue_lengths.CCU,average_queue_lengths.General_Ward,average_waiting_times_minutes.ER,average_waiting_times_minutes.Preoperative,average_waiting_times_minutes.Lab_Preoperative,average_waiting_times_minutes.Lab_ER,average_waiting_times_minutes.OR_Regular,average_waiting_times_minutes.OR_Urgent,average_waiting_times_minutes.ICU,average_waiting_times_minutes.CCU,average_waiting_times_minutes.General_Ward,maximum_queue_lengths.ER,maximum_queue_lengths.Preoperative,maximum_queue_lengths.Lab_Preoperative,maximum_queue_lengths.Lab_ER,maximum_queue_lengths.OR_Regular,maximum_queue_lengths.OR_Urgent,maximum_queue_lengths.ICU,maximum_queue_lengths.CCU,maximum_queue_lengths.General_Ward,bed_utilization_percent.Preoperative,bed_utilization_percent.ER,bed_utilization_percent.Lab,bed_utilization_percent.OR,bed_utilization_percent.General_Ward,bed_utilization_percent.ICU,bed_utilization_percent.CCU
1938.2249648011182,0.7589958158995815,0,1,0,8.031799163179917,269.2694560669456,0.0016736401673640166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.8080156906637512,0.0,0,0,0,0.0,0,10,648,1,0,0,0,0,0,0,98.44714531049615,97.81285013450926,0.7983811382215326,0.08890950952010195,3.5323766568154493,0.0059488400314026855,0.02769891644356011
2096.0185009480815,0.7937447168216399,0,0,0,8.123415046491969,267.2282333051564,0.0033812341504649195,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.747054012136232,0.0,0,0,0,0.0,0,10,649,1,0,0,0,0,0,0,98.4495938562404,97.9205261571758,0.8140510946878686,0.0730651004271604,3.8712716246754293,0.0007790730389246332,0.05945723414827341
2021.7630514973441,0.7658450704225352,1,3,0,7.183978873239437,258.49207746478874,0.0,0.0008802816901408451,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5.8070204664652465,0,0,0,0.0,0,10,629,0,1,0,0,0,0,0,98.73312059484205,97.85223241047527,0.8063783013645046,0.10793080221886855,3.702224216295528,0.013954114692092144,0.024169448971218404
1779.1461440741841,0.7930174563591023,0,0,0,8.073981712385702,253.28179551122196,0.004987531172069825,0.005818786367414797,0.0,0.0,0.0,0.0,0.0,0,0,27.763288221811763,19.377184996895267,0,0,0,0.0,0,10,624,1,2,0,0,0,0,0,98.2438231794341,96.98627412799382,0.8054949370337602,0.08372008670231659,3.2096399871481127,0.0,0.07265898835738858
1848.7941865590053,0.7958477508650519,1,1,0,7.280276816608996,249.64273356401384,0.0,0.0025951557093425604,0.0,0.0,0.0,0.0,0.0,0,0,0.0,11.747384776495835,0,0,0,0.0,0,10,614,0,1,0,0,0,0,0,98.95838719656344,98.71310200240654,0.8076693365490326,0.08715322538170431,3.3766136434622736,0.004105646537907806,0.012203287309398916
1640.5009465716469,0.7822908204711616,0,3,0,8.09991876523152,276.4443541835906,0.0,0.0,0.0,0.0,0.0,0.00487408610885459,0.0,0,0,0.0,0.0,0,0,0,55.61128899129608,0,10,669,0,0,0,0,0,1,0,98.21367453902818,99.16342084779453,0.8012818865047341,0.10700560219195238,2.8908016317922587,0.01056161439299267,0.11804969546940314
2020.7693344717263,0.7959349593495935,0,2,0,8.14959349593496,263.8658536585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,650,0,0,0,0,0,0,0,98.29305501442794,96.44133233100237,0.8095883459813942,0.08936084674862217,3.6955491383160366,0.011115606665394778,0.012693006564372535
1555.8503255268442,0.7610114192495921,1,2,0,7.132137030995106,271.97145187601956,0.0,0.0,0.0,0.0,0.0,0.004078303425774877,0.0,0,0,0.0,0.0,0,0,0,55.563633700992796,0,10,671,0,0,0,0,0,1,0,97.93297152684838,97.07977766748044,0.8063907866313823,0.10782320554172985,2.7376483269538623,0.013327296825111317,0.05051159401068011
1863.406955400499,0.7835570469798657,1,1,0,7.194630872483222,270.4001677852349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,10,666,0,0,0,0,0,0,0,97.72952705027902,97.3711018064337,0.8139251896845751,0.0923760322488854,3.396000147336521,0.001209934604588204,0.028100977552221056
1557.6970493806255,0.782824112303881,0,4,0,8.128819157720892,264.3179190751445,0.0,0.0008257638315441783,0.0,0.0,0.0,0.0,0.0,0,0,0.0,21.355886959006284,0,0,0,0.0,0,10,664,0,1,0,0,0,0,0,98.52911647317568,98.28390310786858,0.8062545162190753,0.11684362720587863,2.7223692813084512,0.04352113541574092,0.04073899411355995
